Type,Title,Song
M,2 X 4,"I¡¯m gonna make you, shake you, take you I¡¯m gonna be the one who breaks you Put the screws to you, yeah, my way Yeah, come on and come on, come and make my day Make my day  Got some hell to pay, I steal your thunder The joy of violent movement, pulls you under Bite the bullet, well hard Yeah, but I die harder, so go too far Too far  Friction, fusion, retribution I can¡¯t hear you, talk to me I can¡¯t hear you, so talk to me I can¡¯t hear you, are you talking to me? I can¡¯t hear you, are you talking to me? I can¡¯t hear you, time to meet my lord I can¡¯t hear you, talk to two by four  I¡¯m gonna make you, shake you, take you I¡¯m gonna be that one who breaks you Put the screws to you, my way Hey, come on and come on, come and make my day Make my day  Friction, fusion, retribution I can¡¯t hear you, talk to me I can¡¯t hear you, come talk to me I can¡¯t hear you, are you talking to me? I can¡¯t hear you, are you talking to me? I can¡¯t hear you, time to meet my lord I can¡¯t hear you, talk to two by four  Talk to two by four It don¡¯t take no more  Friction, fusion, retribution I¡¯m gonna make you talk to me I¡¯m gonna trick you, so talk to me I can¡¯t hear you, are you talking to me? I can¡¯t hear you, you talking to me? I can¡¯t hear you, time to meet my lord I can¡¯t hear you, talk to two by four She don¡¯t take no more"
M,Ain't My Bitch,"Outta my way Outta my day Out of your mind and into mine  Into no one Into not one Into your step but out of time  Headstrong What¡¯s wrong? I¡¯ve already heard this song before You arrived, but now it¡¯s time to kiss your ass goodbye  Dragging me down Why you around? So useless  It ain¡¯t my fall It ain¡¯t my call It ain¡¯t my bitch It ain¡¯t my bitch  Down on the sun Down and no fun Down and out, where the hell you been?  Damn it all down Damn it unbound Damn it all down to hell again  Stand tall Can¡¯t fall Never even bend at all before You arrived, but now it¡¯s time to kiss your ass goodbye  Dragging me down Why you around? So useless  It ain¡¯t my fall It ain¡¯t my call It ain¡¯t my bitch  Outta my way  Outta my way Outta my day Out of your mind and into mine  Into no one Into not one Into your step but out of time  Headstrong What¡¯s wrong? I¡¯ve already heard this song before You arrived, but now it¡¯s time to kiss your ass goodbye And now it¡¯s time to kiss your ass goodbye  Dragging me down While you around? So useless  It ain¡¯t my fall It ain¡¯t my call It ain¡¯t my bitch  No way but down Why you¡¯re around No fooling  It ain¡¯t my smile It ain¡¯t my style It ain¡¯t my bitch Oh, it ain¡¯t mine  Ain¡¯t mine Your kind You¡¯re stepping out of time  Ain¡¯t mine Your kind You¡¯re stepping out of time  Taking me down Why you around No fooling  It ain¡¯t my fall It ain¡¯t my call It ain¡¯t my bitch You ain¡¯t mine"
M,All Nightmare Long,"Luck. Runs. Out. Crawl from the wreckage one more time Horrific memory twists the mind Dark, rutted, cold and hard to turn Path of destruction, feel it burn Still life Incarnation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's to be?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  1.2.  Luck. Runs. Out.  The light that is not light is here To flush you out with your own fear You hide, you hide, but will be found Release your grip without a sound  Still life Immolation Still life Infamy  Hallucination Heresy Still you run, what's to come? What's to be?  'Cause we hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  Then you crawl back in Into your obsession Never to return This is your confession  Hunt you down without mercy Hunt you down all nightmare long Feel us breathe upon your face Feel us shift, every move we trace Hunt you down without mercy Hunt you down all nightmare long, yeah Luck. Runs. Out.  You crawl back in But your luck runs out  Your luck runs out"
M,All Within My Hands,"All within my hands Squeeze it in, crush it down All within my hands Hold it dear, hold it suffocate  All within my hands Love to death, smack you 'round and 'round and All within my hands Beware  Love is control I'll die if I let go  Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands  All within my hands Take your fear, pump me up All within my hands Let you run, then I pull your leash  All within my hands Under thumb, under to myself All within my hands Beware  Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands again  I'll die if I let go Control is love, love is control I'll fall if I let go Control is love, love is control  I will only let you breath My air that you receive Then we'll see if I let you love me Kill Kill Kill Kill Kill"
M,Am I Evil?,"My mother was a witch, she was burned alive. Thankless little bitch, for the tears I cried. Take her down now, don't want to see her face All blistered and burnt, can't hide my disgrace.  Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time.  Am I evil? Yes I am. Am I evil? I am man, yes I am.  As I watched my mother die, I lost my head. Revenge now I sought, to break with my bread. Taking no chances, you come with me. I'll split you to the bone, help set you free.  Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time.  Am I evil? Yes I am. Am I evil? I am man, yes I am.  On with the action now, I'll strip your pride. I'll spread your blood around, I'll see you ride. Your face is scarred with steel, wounds deep and neat. Like a double dozen before ya, smells so sweet.  Am I evil? Yes I am. Am I evil? I am man.  I'll make my residence, I'll watch your fire. You can come with me, sweet desire. My face is long forgot, my face not my own. Sweet and timely whore, take me home.  Am I evil? Yes I am. Am I evil? I am man.  My soul is longing for, await my heir. Sent to avenge my mother, sweep myself. My face is long forgot, my face not my own. Sweet and timely whore, take me home.  Am I evil? Yes I am. Am I evil? I am man.  Am I evil? Yes I fucking am. Am I evil? I am man, yeah."
M,Am I Savage?,"Ooooh,Run away, the past will bite again Ooooh, No matter where you dwell You, Here again, a captive of the howl You, Welcome back to hell  Faithful, as the full moon is rising Beauty and the Beast are colliding  Sharpened edge touch liquid flame Deepened seed soaks angers reign Arching back, shape-shift derange Father, how I watched you change  Am I savage? Scratching at the door Am I savage? I don't recognize you anymore  Ooooh, Tooth is fang, twisting under skin Ooooh, Foul tongue, black breath Change, Snap inside, the Beast about complete Change, Soon infects the rest  Faithful, as the full moon is rising Beauty and the Beast are colliding  Sharpened edge touch liquid flame Deepened seed soaks angers reign Arching back, shape-shift derange Father, how I watched you change  Am I savage? Howling at the door Am I savage? I don't recognize you anymore Anymore   Ooooh, Inheritance, the past has bit again Ooooh, The next heir of anarchy Feel, Stretching skin so far beyond belief I feel, The ever changing, you, in me  Am I savage? Scratching at the door Am I savage? Howling evermore Am I savage? I don't recognize me anymore Anymore  Anymore, ha ha ha Am I savage?"
M,...And Justice for All,Halls of justice painted green Money talking Power wolves beset your door Hear them stalking Soon you¡¯ll please their appetite They devour Hammer of justice crushes you Overpower  The ultimate in vanity Exploiting their supremacy I can¡¯t believe the things you say I can¡¯t believe I can¡¯t believe the price you pay Nothing can save you  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Apathy their stepping stone So unfeeling Hidden deep animosity So deceiving Through your eyes their light burns Hoping to find Inquisition sinking you With prying minds  The ultimate in vanity Exploiting their supremacy I can¡¯t believe the things you say I can¡¯t believe I can¡¯t believe the price you pay Nothing can save you  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Lady Justice has been raped Truth assassin Rolls of red tape seal your lips Now you¡¯re done in Their money tips her scales again Make your deal Just what is truth? I cannot tell Cannot feel  The ultimate in vanity Exploiting their supremacy I can¡¯t believe the things you say I can¡¯t believe I can¡¯t believe the price we pay Nothing can save us  Justice is lost Justice is raped Justice is gone Pulling your strings Justice is done Seeking no truth Winning is all Find it so grim So true So real  Seeking no truth Winning is all Find it so grim So true So real
M,Astronomy,"Clock strikes twelve and moon drops burst Out at you from their hiding place Like acid and oil on a madman's face His reasons tends to fly away Like lesser birds on the four winds Like silver scrapes in May And now the sand's become a crust Most of you have gone away  Come Susie dear, let's take a walk Just out there upon the beach I know you'll soon be married And you'll want to know where winds come from Well it's never said at all On the map that Carrie reads Behind the clock back there you know At the Four Winds Bar  Hey! Hey! Hey! Hey!  Four winds at the Four Winds Bar Two doors locked and windows barred One door left to take you in The other one just mirrors it  Hey! Hey! Hey! Hey!  Hellish glare and inference The other one's a duplicate The Queenly flux, eternal light Or the light that never warms Yes the light that never, never warms Yes the light that never Never warms Never warms Never warms  The clock strikes twelve and moon drops burst Out at you from their hiding place Miss Carrie nurse and Susie dear Would find themselves at Four Winds Bar  It's the nexus of the crisis And the origin of storms Just the place to hopelessly Encounter time and then came me  Hey! Hey! Hey! Hey!  Call me Desdinova Eternal light These gravely digs of mine Will surely prove a sight And don't forget my dog Fixed and consequent  Astronomy...a star"
M,"Atlas, Rise!","Bitterness and burden Curses rest on thee Solitaire and sorrow All Eternity  Save the Earth and claim perfection Deem the mass and blame rejection Hold the pose, reign perception Grudges break your back  All you bear All you carry All you bear Place it right on, right on me  Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, Rise!  How does it feel on your own? Bound by the world all alone Crushed under heavy skies Atlas, Rise!  Crucify and witness Circling the sun Bastardize and ruin What have you become?  Blame the world, and blame your maker Wish ¡®em to the undertaker Crown yourself the other savior So you carry on  All you bear All you carry All you bear Place it right on, right on me  Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, Rise!  How does it feel on your own? Bound by the world all alone Crushed under heavy skies Crushed under heavy skies Atlas, Rise!  Masquerade as maker Heavy is the crown Beaten down and broken Drama wears you down  Overload, the martyr stumbles Hit the ground and heaven crumbles All alone, the fear shall humble Swallow all your pride  All you bear All you carry All you bear Place it right on, right on me  Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, Rise!  How does it feel on your own? Bound by the world all alone Crushed under heavy skies Crushed under heavy skies Atlas, Rise!"
M,Attitude,"Suppose I say I'm never satisfied Suppose I say You cut some root To make the tree survive  Just let me kill you for a while Just let me kill you for a smile Just let me kill you once I'm oh so bored to death  Ohhhh, I hunger I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?  Suppose I say The vultures smile at me Suppose I say I've sent them down And they plan to pick you clean  And satisfaction this way comes And satisfaction this way comes And satisfaction's here and gone, gone Yeah gone again  Oooh, I hunger Ooh I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And stand there  Born Into Attitude Twist mother tongue Throw all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?  [Solo]  Just let me kill you for a while Just let me kill you for a smile Just let me kill you once for me I'm bored to death  And satisfaction this way comes And satisfaction this way comes And satisfaction's here and gone, gone Gone again  Yeah I hunger Oooh I hunger I eat  Born Into Attitude Asleep at the wheel Throw all your bullets in the fire And stand there  Born Into Attitude Twist mother tongue Throwing all your bullets in the fire And run like hell Why cure the fever? What ever happened to sweat?"
